fetch_date,route,price,departure,arrival,airline,flight_number,score,tags,leg_type
2025-05-22T15:07:22.474208,MLA → TLS,356.99,2025-05-30T07:00:00,2025-05-30T12:30:00,KM Malta Airlines,612,0.841378,cheapest,return
2025-05-22T15:08:43.557200,TLS → MLA,445.99,2025-05-25T06:00:00,2025-05-25T11:55:00,Ryanair,8587,0.999,"second_cheapest, shortest",outbound
2025-05-22T15:08:43.557200,MLA → TLS,445.99,2025-05-30T07:00:00,2025-05-30T12:30:00,KM Malta Airlines,612,0.999,"second_cheapest, shortest",return
2025-05-22T15:08:43.557200,TLS → MLA,356.99,2025-05-25T16:45:00,2025-05-26T01:15:00,Ryanair,1514,0.841378,cheapest,outbound
2025-05-22T15:08:43.557200,MLA → TLS,356.99,2025-05-30T07:00:00,2025-05-30T12:30:00,KM Malta Airlines,612,0.841378,cheapest,return
2025-05-22T15:12:46.862628,TLS → MLA,445.99,2025-05-25T06:00:00,2025-05-25T11:55:00,Ryanair,8587,0.999,,outbound
2025-05-22T15:12:46.862628,MLA → TLS,445.99,2025-05-30T07:00:00,2025-05-30T12:30:00,KM Malta Airlines,612,0.999,,return
2025-05-22T15:12:46.862628,TLS → MLA,356.99,2025-05-25T16:45:00,2025-05-26T01:15:00,Ryanair,1514,0.841378,second_cheapest,outbound
2025-05-22T15:12:46.862628,MLA → TLS,356.99,2025-05-30T07:00:00,2025-05-30T12:30:00,KM Malta Airlines,612,0.841378,second_cheapest,return
2025-05-22T15:12:46.862628,TLS → MLA,304.99,2025-05-25T08:05:00,2025-05-26T07:50:00,Ryanair,5981,0.197617,cheapest,outbound
2025-05-22T15:12:46.862628,MLA → TLS,304.99,2025-05-30T22:55:00,2025-05-31T23:00:00,Wizz Air,2496,0.197617,cheapest,return
2025-05-22T15:15:45.784091,TLS → MLA,304.99,2025-05-25T08:05:00,2025-05-26T07:50:00,Ryanair,5981,0.197617,cheapest,outbound
2025-05-22T15:15:45.784091,MLA → TLS,304.99,2025-05-30T22:55:00,2025-05-31T23:00:00,Wizz Air,2496,0.197617,cheapest,return
2025-05-22T15:15:45.784091,TLS → MLA,356.99,2025-05-25T16:45:00,2025-05-26T01:15:00,Ryanair,1514,0.841378,second_cheapest,outbound
2025-05-22T15:15:45.784091,MLA → TLS,356.99,2025-05-30T07:00:00,2025-05-30T12:30:00,KM Malta Airlines,612,0.841378,second_cheapest,return
2025-05-22T15:15:45.784091,TLS → MLA,445.99,2025-05-25T06:00:00,2025-05-25T11:55:00,Ryanair,8587,0.999,,outbound
2025-05-22T15:15:45.784091,MLA → TLS,445.99,2025-05-30T07:00:00,2025-05-30T12:30:00,KM Malta Airlines,612,0.999,,return
2025-05-22T15:28:16.718770,TLS → MLA,356.99,2025-05-25T16:45:00,2025-05-26T01:15:00,Ryanair,1514,0.841378,cheapest,outbound
2025-05-22T15:28:16.718770,MLA → TLS,356.99,2025-05-30T07:00:00,2025-05-30T12:30:00,KM Malta Airlines,612,0.841378,cheapest,return
2025-05-22T15:28:16.718770,TLS → MLA,445.99,2025-05-25T06:00:00,2025-05-25T11:55:00,Ryanair,8587,0.999,"second_cheapest, shortest",outbound
2025-05-22T15:28:16.718770,MLA → TLS,445.99,2025-05-30T07:00:00,2025-05-30T12:30:00,KM Malta Airlines,612,0.999,"second_cheapest, shortest",return
